First Crack Detection Results
======================================================================

Audio file: data/raw/25-10-19_1103-costarica-hermosa-5.alog.wav
Total windows: 628
Threshold: 0.5
Window: 5.0s, Overlap: 80%
Min event duration: 2.0s
Pop confirmation: at least 3 pops within 30.0s; min gap merge 10.0s

Detected Events: 2
----------------------------------------------------------------------

Event 1:
  Start: 435.97s
  End: 471.97s
  Duration: 36.00s
  Confidence: 0.9990

Event 2:
  Start: 501.97s
  End: 621.96s
  Duration: 119.99s
  Confidence: 0.9999


======================================================================
All Window Predictions:
----------------------------------------------------------------------
Window   0:    0.00s -   10.00s | Prob: 0.0001
Window   1:    1.00s -   11.00s | Prob: 0.0000
Window   2:    2.00s -   12.00s | Prob: 0.0000
Window   3:    3.00s -   13.00s | Prob: 0.0000
Window   4:    4.00s -   14.00s | Prob: 0.0000
Window   5:    5.00s -   15.00s | Prob: 0.0000
Window   6:    6.00s -   16.00s | Prob: 0.0000
Window   7:    7.00s -   17.00s | Prob: 0.0000
Window   8:    8.00s -   18.00s | Prob: 0.0000
Window   9:    9.00s -   19.00s | Prob: 0.0000
Window  10:   10.00s -   20.00s | Prob: 0.0000
Window  11:   11.00s -   21.00s | Prob: 0.0000
Window  12:   12.00s -   22.00s | Prob: 0.0000
Window  13:   13.00s -   23.00s | Prob: 0.0000
Window  14:   14.00s -   24.00s | Prob: 0.0000
Window  15:   15.00s -   25.00s | Prob: 0.0001
Window  16:   16.00s -   26.00s | Prob: 0.0001
Window  17:   17.00s -   27.00s | Prob: 0.0001
Window  18:   18.00s -   28.00s | Prob: 0.0001
Window  19:   19.00s -   29.00s | Prob: 0.0001
Window  20:   20.00s -   30.00s | Prob: 0.0001
Window  21:   21.00s -   31.00s | Prob: 0.0001
Window  22:   22.00s -   32.00s | Prob: 0.0001
Window  23:   23.00s -   33.00s | Prob: 0.0001
Window  24:   24.00s -   34.00s | Prob: 0.0000
Window  25:   25.00s -   35.00s | Prob: 0.0000
Window  26:   26.00s -   36.00s | Prob: 0.0001
Window  27:   27.00s -   37.00s | Prob: 0.0001
Window  28:   28.00s -   38.00s | Prob: 0.0001
Window  29:   29.00s -   39.00s | Prob: 0.0001
Window  30:   30.00s -   40.00s | Prob: 0.0001
Window  31:   31.00s -   41.00s | Prob: 0.0001
Window  32:   32.00s -   42.00s | Prob: 0.0001
Window  33:   33.00s -   43.00s | Prob: 0.0001
Window  34:   34.00s -   44.00s | Prob: 0.0001
Window  35:   35.00s -   45.00s | Prob: 0.0001
Window  36:   36.00s -   46.00s | Prob: 0.0001
Window  37:   37.00s -   47.00s | Prob: 0.0001
Window  38:   38.00s -   48.00s | Prob: 0.0001
Window  39:   39.00s -   49.00s | Prob: 0.0001
Window  40:   40.00s -   50.00s | Prob: 0.0001
Window  41:   41.00s -   51.00s | Prob: 0.0001
Window  42:   42.00s -   52.00s | Prob: 0.0001
Window  43:   43.00s -   53.00s | Prob: 0.0001
Window  44:   44.00s -   54.00s | Prob: 0.0001
Window  45:   45.00s -   55.00s | Prob: 0.0001
Window  46:   46.00s -   56.00s | Prob: 0.0001
Window  47:   47.00s -   57.00s | Prob: 0.0001
